-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 01/01/2021 
Location: Latitude  45.3859   Longitude -75.7107 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 123.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
WS2M_MAX              MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN              MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS2M_RANGE            MERRA-2 Wind Speed at 2 Meters Range (m/s) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE           MERRA-2 Wind Speed at 10 Meters Range (m/s) 
GWETTOP               MERRA-2 Surface Soil Wetness (1) 
GWETROOT              MERRA-2 Root Zone Soil Wetness (1) 
GWETPROF              MERRA-2 Profile Soil Moisture (1) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
TOA_SW_DWN            CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M,T2M_MAX,T2M_MIN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN
2019,300,7.1,10.33,4.58,325.63,24.71,0.3,0.46,0.13,0.33,2.77,3.99,1.55,2.44,0.84,0.73,0.73,1.81,11.09,17.15
2019,301,9.01,14.33,5.9,300.84,2.22,0.2,0.37,0.09,0.27,1.62,2.27,0.79,1.48,0.77,0.73,0.73,5.01,11.43,16.92
2019,302,11.58,17.47,6.32,333.94,0.39,0.19,0.23,0.13,0.1,2.18,3.05,1.51,1.55,0.75,0.73,0.73,8.18,10.98,16.69
2019,303,9.12,11.91,6.39,339.45,3.64,0.18,0.23,0.11,0.13,1.59,1.9,1.16,0.73,0.75,0.72,0.73,3.09,9.6,16.47
2019,304,8.06,9.85,5.86,337.14,33.92,0.21,0.4,0.04,0.36,1.8,3.75,0.3,3.45,0.84,0.73,0.74,1.75,9.6,16.25
2019,305,1.62,5.45,-3.7,296.49,9.85,0.51,0.87,0.25,0.62,4.38,7.84,1.45,6.38,0.83,0.77,0.76,5.68,11.25,16.03
2019,306,1.36,4.99,-3.62,292.96,3.47,0.23,0.32,0.18,0.14,1.66,2.61,0.9,1.7,0.79,0.76,0.76,4.98,10.61,15.81
2019,307,2.83,5.6,0.36,290.66,0.84,0.24,0.36,0.16,0.19,1.97,3.24,1.37,1.88,0.77,0.75,0.77,5.8,10.64,15.6
2019,308,2.55,6.03,-0.76,287.11,1.72,0.27,0.36,0.14,0.22,2.41,3.28,1.27,2.01,0.77,0.74,0.77,3.52,10.03,15.39
2019,309,6.11,7.85,1.89,307.45,2.43,0.25,0.32,0.15,0.16,2.65,3.37,1.91,1.47,0.77,0.74,0.77,2.89,9.22,15.18
2019,310,1.51,4.59,-2.0,278.79,0.29,0.31,0.39,0.2,0.19,2.62,3.61,1.57,2.05,0.76,0.74,0.77,8.63,10.92,14.97
2019,311,-1.72,0.97,-6.56,273.41,3.82,0.3,0.46,0.17,0.28,2.02,2.82,1.14,1.68,0.76,0.73,0.77,5.51,9.92,14.77
2019,312,-4.38,-0.33,-6.68,236.97,0.79,0.46,0.7,0.33,0.37,2.48,3.62,1.09,2.53,0.76,0.73,0.77,8.24,10.72,14.58
2019,313,-1.97,0.48,-5.99,270.57,1.02,0.41,0.5,0.32,0.18,2.88,3.9,1.35,2.55,0.76,0.73,0.77,4.82,9.65,14.38
2019,314,0.38,4.25,-4.22,294.66,0.71,0.38,0.45,0.24,0.21,3.12,3.45,2.67,0.77,0.77,0.73,0.77,2.56,8.35,14.19
2019,315,-5.74,-4.25,-6.73,258.12,4.46,0.35,0.38,0.29,0.1,2.55,2.8,2.16,0.64,0.76,0.73,0.77,4.38,9.72,14.01
2019,316,-8.52,-6.88,-11.17,246.28,4.35,0.45,0.53,0.36,0.17,3.72,4.37,2.89,1.48,0.76,0.73,0.77,4.83,10.03,13.82
2019,317,-9.72,-5.29,-11.88,221.84,0.03,0.33,0.61,0.13,0.48,2.34,3.74,1.07,2.67,0.76,0.73,0.77,9.12,10.26,13.64
2019,318,-4.7,-0.94,-9.27,270.38,2.84,0.2,0.28,0.16,0.12,2.2,2.47,1.9,0.57,0.76,0.73,0.77,4.6,8.86,13.47
2019,319,-3.52,1.01,-12.17,262.96,1.16,0.41,0.75,0.2,0.55,3.51,5.02,2.34,2.68,0.77,0.73,0.77,3.84,9.05,13.3
2019,320,-10.9,-4.37,-15.59,200.77,0.91,0.57,0.85,0.15,0.7,1.97,2.8,1.18,1.62,0.76,0.73,0.77,9.37,9.83,13.13
2019,321,-7.88,-1.49,-12.21,229.31,0.3,0.45,0.7,0.2,0.5,2.15,2.72,1.55,1.18,0.76,0.73,0.77,7.84,9.32,12.96
2019,322,-5.32,-0.4,-10.4,263.87,0.23,0.37,0.68,0.13,0.55,1.89,2.41,1.34,1.08,0.76,0.73,0.77,5.69,8.88,12.8
2019,323,-3.06,1.58,-6.07,265.73,0.04,0.46,0.9,0.13,0.77,1.58,2.23,0.91,1.31,0.77,0.73,0.77,5.93,8.35,12.65
2019,324,-2.84,2.11,-6.05,266.59,0.05,0.37,0.5,0.17,0.33,1.81,2.12,1.38,0.73,0.77,0.73,0.77,4.94,8.22,12.5
2019,325,-0.35,2.68,-3.06,281.8,2.43,0.28,0.47,0.12,0.35,1.64,3.02,0.23,2.79,0.77,0.74,0.77,2.81,7.37,12.35
2019,326,-0.38,3.94,-5.5,272.4,1.76,0.67,0.99,0.31,0.68,4.09,5.83,2.21,3.62,0.79,0.75,0.77,4.47,7.94,12.21
2019,327,-2.56,3.26,-7.0,242.07,0.28,0.35,0.45,0.15,0.31,2.14,3.42,0.68,2.75,0.77,0.74,0.77,6.02,8.45,12.07
2019,328,-0.7,4.73,-4.17,253.27,0.73,0.3,0.95,0.05,0.89,1.14,2.05,0.24,1.81,0.77,0.74,0.77,6.59,8.06,11.93
2019,329,0.91,6.12,-1.45,293.15,0.07,0.29,0.38,0.16,0.23,2.02,2.55,0.86,1.69,0.77,0.74,0.77,4.54,7.92,11.8
2019,330,1.3,5.62,-1.82,290.84,0.23,0.28,0.36,0.18,0.18,1.82,2.4,1.01,1.39,0.77,0.74,0.77,3.32,7.05,11.68
2019,331,0.37,3.05,-2.12,285.97,12.47,0.57,1.02,0.21,0.82,3.09,5.84,0.87,4.96,0.79,0.74,0.77,1.18,7.04,11.56
2019,332,-2.87,0.26,-7.16,256.84,2.14,0.64,0.85,0.27,0.58,3.5,4.54,1.55,2.98,0.77,0.75,0.77,3.54,7.76,11.44
2019,333,-7.95,-4.42,-11.7,220.67,0.02,0.46,0.6,0.37,0.23,2.63,3.02,2.23,0.79,0.77,0.75,0.77,6.15,8.03,11.33
2019,334,-12.27,-6.77,-15.48,190.37,0.0,0.6,0.74,0.33,0.41,2.42,2.8,1.77,1.03,0.77,0.74,0.77,7.68,8.16,11.22
2019,335,-11.52,-7.56,-17.31,219.95,0.38,0.55,0.77,0.43,0.34,2.59,3.34,1.38,1.96,0.77,0.74,0.77,4.75,7.8,11.12
2019,336,-7.92,-1.75,-12.67,215.48,0.09,0.48,0.7,0.33,0.38,2.61,3.02,2.09,0.91,0.77,0.74,0.77,7.3,7.82,11.02
2019,337,-9.02,-1.56,-13.88,212.44,0.0,0.48,0.7,0.23,0.48,2.02,2.49,1.24,1.25,0.77,0.74,0.77,6.91,7.63,10.93
2019,338,-3.62,-0.23,-6.88,277.26,1.43,0.3,0.56,0.13,0.43,1.23,1.55,0.76,0.79,0.77,0.74,0.77,2.72,6.95,10.84
2019,339,-5.01,-3.33,-9.77,264.59,0.52,0.54,0.85,0.23,0.62,2.86,3.98,1.44,2.54,0.77,0.74,0.77,3.39,7.3,10.76
2019,340,-7.69,-3.06,-12.31,242.23,0.65,0.52,0.75,0.28,0.47,1.96,2.56,1.05,1.5,0.77,0.74,0.77,4.14,7.41,10.68
2019,341,-9.68,-5.36,-13.75,207.72,0.06,0.55,0.74,0.34,0.4,1.85,2.43,1.38,1.05,0.77,0.74,0.77,5.85,7.6,10.61
2019,342,-6.56,0.96,-14.07,258.12,0.38,0.59,0.73,0.47,0.26,2.69,3.4,2.25,1.14,0.77,0.74,0.77,2.02,6.29,10.54
2019,343,1.4,3.19,0.72,300.25,7.1,0.53,0.72,0.39,0.33,2.48,3.34,1.88,1.47,0.82,0.75,0.77,1.99,5.92,10.48
2019,344,-1.3,5.42,-10.1,274.62,1.08,0.95,1.21,0.63,0.58,4.02,4.7,2.82,1.88,0.8,0.77,0.78,3.01,6.77,10.42
2019,345,-8.24,-3.41,-13.04,225.77,0.3,0.66,1.29,0.04,1.25,2.92,5.59,0.17,5.41,0.77,0.76,0.78,4.13,7.19,10.37
2019,346,-8.18,-4.0,-13.15,221.25,0.43,0.47,0.62,0.27,0.34,2.09,2.61,1.45,1.16,0.77,0.75,0.78,5.3,7.18,10.32
2019,347,-2.26,1.72,-5.56,264.42,0.2,0.43,0.55,0.3,0.26,2.07,2.48,1.58,0.91,0.77,0.75,0.78,4.32,6.44,10.27
2019,348,0.57,1.89,-0.46,292.88,15.99,0.66,1.43,0.45,0.98,2.68,5.55,1.94,3.62,0.8,0.76,0.78,2.18,6.34,10.23
2019,349,-7.92,-0.45,-16.51,243.41,6.23,1.34,1.77,0.58,1.19,5.2,6.74,2.88,3.86,0.78,0.76,0.79,3.76,6.87,10.2
2019,350,-12.7,-6.58,-18.37,218.4,0.14,0.59,1.23,0.07,1.16,1.92,3.08,0.23,2.84,0.78,0.76,0.79,5.29,7.27,10.17
2019,351,-6.87,-2.5,-13.1,259.67,1.38,0.48,0.8,0.12,0.69,1.23,2.45,0.4,2.05,0.78,0.76,0.79,2.51,6.66,10.15
2019,352,-11.9,-6.35,-20.33,237.38,0.95,1.03,1.57,0.37,1.2,3.64,5.56,1.46,4.1,0.77,0.76,0.79,2.45,6.82,10.13
2019,353,-20.0,-17.4,-22.28,175.92,0.36,0.94,1.12,0.57,0.55,3.42,4.04,2.44,1.59,0.77,0.75,0.79,6.02,7.37,10.11
2019,354,-20.87,-14.98,-27.5,184.19,0.21,0.66,1.0,0.45,0.54,2.16,2.83,1.16,1.67,0.77,0.75,0.79,7.07,7.24,10.11
2019,355,-13.44,-9.49,-16.2,219.04,0.13,0.48,0.77,0.29,0.48,1.44,2.07,0.53,1.54,0.77,0.75,0.79,4.71,6.85,10.1
2019,356,-3.38,0.62,-12.26,276.9,0.11,0.52,0.75,0.28,0.47,2.04,2.66,1.27,1.38,0.79,0.76,0.79,3.78,6.37,10.1
2019,357,-0.67,1.24,-7.49,279.8,0.05,0.84,1.33,0.62,0.71,2.91,4.34,2.23,2.11,0.8,0.76,0.79,3.8,6.16,10.11
2019,358,-9.16,-5.6,-12.89,225.16,0.01,0.68,0.93,0.34,0.59,2.22,2.99,1.18,1.82,0.78,0.76,0.79,6.7,7.14,10.12
2019,359,-6.63,-3.17,-9.73,260.67,0.0,0.73,0.93,0.55,0.37,2.57,3.09,2.0,1.09,0.78,0.76,0.79,3.6,6.33,10.14
2019,360,-6.62,-3.0,-9.43,252.15,0.47,0.89,1.14,0.59,0.55,3.1,3.73,2.1,1.62,0.78,0.76,0.79,3.08,6.43,10.16
2019,361,0.67,3.16,-2.36,305.51,1.89,0.7,0.9,0.43,0.47,2.49,3.13,1.81,1.32,0.81,0.77,0.79,1.52,5.73,10.19
2019,362,-2.02,2.08,-6.1,241.25,0.37,0.75,1.06,0.5,0.56,2.68,3.32,2.0,1.32,0.79,0.77,0.8,6.9,7.14,10.22
2019,363,-4.87,-0.92,-8.56,248.84,0.8,0.77,1.48,0.43,1.06,2.34,4.56,1.23,3.34,0.78,0.77,0.8,3.3,6.7,10.26
2019,364,-2.91,-0.42,-5.13,282.98,10.2,1.8,2.45,1.19,1.26,5.48,7.36,3.75,3.61,0.78,0.76,0.8,0.93,6.4,10.3
2019,365,-1.99,-0.05,-3.87,285.47,6.05,0.8,1.08,0.55,0.52,2.55,3.42,1.98,1.45,0.78,0.76,0.8,2.27,6.44,10.35
2020,1,-3.06,-0.01,-5.46,269.78,0.58,0.87,1.12,0.57,0.54,2.82,3.41,2.06,1.34,0.78,0.76,0.8,2.91,6.75,10.4
2020,2,-2.67,0.82,-8.5,281.93,0.14,0.62,1.01,0.47,0.54,2.25,3.12,1.73,1.39,0.8,0.77,0.8,2.95,6.81,10.46
2020,3,-0.6,1.23,-5.63,296.55,1.2,0.7,0.84,0.57,0.27,2.34,2.73,1.93,0.8,0.81,0.77,0.8,2.57,6.7,10.52
2020,4,-6.21,-2.52,-9.49,272.23,0.92,0.66,0.95,0.55,0.41,2.2,3.07,1.55,1.52,0.79,0.77,0.8,2.77,6.96,10.59
2020,5,-11.6,-8.38,-16.49,233.09,0.29,1.07,1.4,0.66,0.73,2.91,3.88,1.29,2.59,0.79,0.77,0.8,4.03,7.53,10.66
2020,6,-9.12,-3.24,-17.46,250.52,3.03,0.88,1.24,0.52,0.73,2.62,3.62,1.41,2.2,0.79,0.77,0.8,3.12,7.1,10.74
2020,7,-5.99,-1.66,-12.95,229.62,0.33,0.74,1.3,0.41,0.88,2.29,3.8,1.37,2.43,0.79,0.77,0.8,6.52,7.79,10.82
2020,8,-7.24,-3.3,-14.13,241.47,0.7,1.55,2.59,0.45,2.13,4.25,6.78,1.56,5.22,0.79,0.77,0.8,4.66,7.39,10.91
2020,9,-14.92,-10.29,-22.02,203.8,0.02,0.98,1.61,0.2,1.41,2.71,4.38,0.44,3.95,0.79,0.77,0.8,6.76,7.95,11.0
2020,10,-1.34,1.38,-9.99,292.14,1.07,1.26,1.9,0.48,1.41,3.48,5.13,1.62,3.52,0.82,0.77,0.8,2.06,6.61,11.1
2020,11,0.22,4.6,-5.94,302.37,36.08,1.3,2.2,0.38,1.82,3.47,5.45,1.43,4.02,0.88,0.8,0.81,1.01,6.53,11.2
2020,12,-11.33,-5.94,-18.1,248.2,15.95,1.5,2.89,0.52,2.38,3.97,7.27,2.1,5.16,0.82,0.8,0.82,2.73,7.28,11.31
2020,13,-14.85,-8.92,-21.03,249.99,0.57,0.62,1.03,0.28,0.75,1.84,2.65,0.63,2.02,0.81,0.79,0.82,1.6,7.14,11.42
2020,14,-13.46,-8.78,-19.22,248.62,0.34,0.77,1.48,0.34,1.13,2.25,3.5,0.8,2.69,0.8,0.79,0.82,2.82,7.36,11.53
2020,15,-4.83,0.04,-10.38,268.73,0.44,0.89,1.25,0.61,0.64,2.17,2.89,1.09,1.8,0.8,0.78,0.82,2.53,7.59,11.66
2020,16,-9.17,-5.67,-17.0,236.74,4.06,1.64,2.46,0.44,2.02,3.99,5.87,1.45,4.43,0.8,0.78,0.82,4.68,8.31,11.78
2020,17,-21.74,-17.78,-26.07,161.13,0.12,1.33,2.2,0.56,1.63,3.35,5.21,1.7,3.52,0.8,0.78,0.82,8.74,9.12,11.91
2020,18,-19.39,-15.56,-24.19,219.78,7.77,1.58,2.52,0.42,2.1,3.62,5.87,1.51,4.36,0.8,0.78,0.82,3.25,8.41,12.05
2020,19,-13.61,-11.32,-18.25,218.88,4.75,1.54,2.07,1.0,1.06,3.66,4.89,2.49,2.4,0.8,0.78,0.82,5.4,8.44,12.19
2020,20,-20.89,-15.37,-24.56,169.38,0.57,1.06,1.62,0.66,0.97,3.01,3.62,2.3,1.32,0.8,0.78,0.82,8.66,9.29,12.33
2020,21,-16.63,-8.22,-25.38,213.88,0.3,1.05,1.31,0.55,0.75,2.62,3.29,1.58,1.71,0.8,0.78,0.82,6.07,9.22,12.48
2020,22,-5.35,-2.13,-8.74,247.59,0.23,1.63,2.12,1.02,1.1,3.85,4.82,2.73,2.09,0.8,0.78,0.82,6.02,9.05,12.63
2020,23,-5.04,-1.29,-9.7,255.49,0.5,0.68,1.05,0.28,0.77,1.75,2.71,0.53,2.18,0.8,0.78,0.82,4.05,8.78,12.79
2020,24,-3.51,-0.52,-7.02,260.33,0.17,1.44,1.91,0.61,1.3,3.37,4.2,1.94,2.26,0.8,0.78,0.82,5.56,8.47,12.95
2020,25,-2.35,-1.0,-3.95,279.52,8.31,1.72,2.05,1.33,0.72,3.88,4.56,3.08,1.48,0.8,0.78,0.82,3.1,8.48,13.12
2020,26,-1.62,0.07,-5.45,287.84,6.34,0.98,1.33,0.41,0.91,2.41,2.91,1.48,1.43,0.8,0.78,0.82,2.13,8.65,13.29
2020,27,-2.87,-0.57,-5.98,272.27,0.63,1.22,1.7,0.73,0.97,2.82,3.59,1.96,1.63,0.8,0.78,0.82,3.27,9.09,13.46
2020,28,-8.45,-5.05,-16.11,227.33,0.31,1.27,1.64,0.88,0.77,3.1,3.51,2.64,0.87,0.8,0.78,0.82,3.21,9.88,13.64
2020,29,-18.69,-11.77,-23.15,175.41,0.36,1.17,1.5,0.67,0.83,3.12,3.73,1.9,1.84,0.8,0.78,0.82,10.47,10.48,13.83
2020,30,-16.78,-10.47,-23.22,185.66,0.12,0.85,1.42,0.2,1.22,1.79,2.8,0.36,2.45,0.8,0.78,0.82,9.89,10.55,14.01
2020,31,-13.03,-7.81,-22.37,213.05,0.83,0.68,1.52,0.17,1.34,1.27,2.92,0.3,2.62,0.8,0.78,0.82,7.45,10.18,14.21
2020,32,-8.88,-3.87,-13.43,239.38,0.28,0.73,1.02,0.3,0.71,1.41,2.12,0.59,1.53,0.8,0.78,0.82,6.54,9.59,14.4
2020,33,-6.17,-1.66,-12.29,262.22,1.46,0.56,0.96,0.04,0.92,1.29,2.09,0.06,2.03,0.8,0.78,0.82,4.95,9.97,14.6
2020,34,-4.7,-0.29,-7.71,272.17,0.09,1.17,2.36,0.44,1.93,2.65,4.85,1.39,3.46,0.8,0.78,0.82,4.88,10.49,14.8
2020,35,-4.72,0.1,-9.92,261.46,0.22,1.17,1.99,0.59,1.4,2.47,4.16,1.11,3.05,0.8,0.78,0.82,5.75,10.37,15.01
2020,36,-13.41,-7.99,-17.57,201.01,0.06,1.15,2.15,0.53,1.62,2.45,4.61,1.09,3.52,0.8,0.78,0.82,11.06,11.59,15.22
2020,37,-9.49,-5.86,-13.92,248.34,5.61,1.2,2.08,0.42,1.66,2.72,4.41,1.38,3.02,0.8,0.78,0.82,3.56,10.48,15.43
2020,38,-10.83,-7.7,-18.2,246.32,9.34,2.7,3.55,1.89,1.66,5.62,7.27,4.17,3.11,0.8,0.78,0.82,2.36,11.22,15.65
2020,39,-21.34,-17.38,-24.02,163.2,0.7,1.44,1.98,0.59,1.4,2.98,4.09,0.75,3.34,0.8,0.78,0.82,12.12,12.6,15.87
2020,40,-16.39,-4.07,-27.65,203.41,1.06,0.89,1.19,0.18,1.01,1.78,2.6,0.22,2.38,0.8,0.78,0.82,9.94,11.76,16.09
2020,41,-3.36,-0.09,-6.91,266.27,4.51,1.14,1.78,0.35,1.43,2.38,3.45,0.45,2.99,0.8,0.78,0.82,7.31,10.86,16.31
2020,42,-5.51,-1.66,-10.01,278.89,0.2,1.05,2.15,0.44,1.71,1.99,4.45,0.96,3.49,0.8,0.78,0.82,4.46,11.48,16.54
2020,43,-4.67,-1.8,-10.61,243.12,0.08,1.91,2.7,1.15,1.55,3.96,5.21,2.63,2.58,0.8,0.78,0.82,9.6,12.53,16.78
2020,44,-10.02,-3.41,-20.11,242.1,2.17,1.98,2.97,0.63,2.34,4.09,5.77,1.93,3.84,0.8,0.78,0.82,5.82,11.8,17.01
2020,45,-26.03,-19.75,-32.92,167.62,0.11,1.35,2.17,0.68,1.49,2.94,4.34,1.77,2.57,0.8,0.78,0.82,12.62,13.76,17.25
2020,46,-13.02,-4.98,-25.64,239.7,0.22,1.89,3.0,0.91,2.09,4.09,5.89,2.72,3.18,0.8,0.78,0.82,9.0,13.22,17.49
2020,47,-1.92,0.25,-7.82,278.41,0.35,2.05,2.74,1.13,1.6,4.16,5.6,2.57,3.03,0.8,0.78,0.82,6.7,12.51,17.73
2020,48,-14.23,-8.03,-22.27,194.2,0.0,1.2,1.77,0.5,1.27,2.52,3.61,0.92,2.69,0.8,0.78,0.82,12.19,13.78,17.98
2020,49,-6.59,0.46,-19.11,277.2,3.23,2.7,3.7,1.19,2.51,5.55,7.38,3.21,4.16,0.8,0.78,0.82,3.11,12.51,18.22
2020,50,-9.18,-2.78,-16.17,224.2,0.12,2.21,3.28,0.89,2.39,4.67,6.72,2.51,4.21,0.8,0.78,0.82,13.0,14.2,18.47
2020,51,-19.31,-14.08,-26.58,178.32,0.0,1.12,1.8,0.68,1.12,2.76,3.57,2.07,1.49,0.8,0.78,0.82,14.11,14.69,18.72
2020,52,-13.13,-4.32,-25.16,195.23,0.02,1.91,2.77,0.64,2.12,4.34,6.02,2.02,4.02,0.8,0.78,0.82,14.03,14.42,18.98
2020,53,-4.11,-0.09,-8.12,228.62,0.07,1.95,2.56,1.12,1.45,4.16,5.27,2.64,2.62,0.8,0.78,0.82,12.44,13.97,19.24
2020,54,-2.52,0.44,-6.44,234.25,0.32,1.2,2.25,0.7,1.55,2.67,4.84,1.71,3.14,0.82,0.79,0.82,13.26,13.84,19.49
2020,55,-0.29,0.59,-1.85,252.62,0.03,1.31,2.22,0.63,1.59,2.97,4.85,1.83,3.02,0.84,0.8,0.83,13.46,13.93,19.76
2020,56,-1.48,0.12,-3.07,265.25,0.05,1.29,1.56,0.93,0.63,2.77,3.38,2.41,0.97,0.83,0.8,0.83,8.59,14.0,20.02
2020,57,-3.03,-1.15,-6.31,273.23,4.23,1.89,2.62,1.44,1.2,3.93,5.48,3.02,2.47,0.81,0.8,0.83,6.89,13.49,20.28
2020,58,-3.68,0.26,-10.02,269.3,18.0,3.02,4.06,1.76,2.3,6.38,8.45,3.7,4.75,0.83,0.8,0.84,5.61,14.81,20.55
2020,59,-11.23,-8.3,-15.45,224.8,1.2,1.92,2.87,0.66,2.2,4.28,6.2,1.91,4.29,0.81,0.8,0.84,10.7,15.99,20.81
2020,60,-15.67,-10.61,-20.28,191.58,0.08,1.26,1.91,0.73,1.19,3.01,4.02,2.19,1.83,0.81,0.8,0.84,14.81,16.36,21.08
2020,61,-14.38,-7.56,-22.85,199.05,0.94,0.87,1.31,0.31,0.99,2.23,3.18,0.61,2.57,0.81,0.8,0.84,16.35,16.61,21.35
2020,62,-2.2,0.44,-9.1,288.7,3.11,1.41,2.03,0.76,1.27,3.27,4.59,2.13,2.46,0.84,0.8,0.84,5.32,13.4,21.63
2020,63,-1.36,0.2,-4.55,269.06,10.06,0.91,1.8,0.2,1.61,1.99,3.95,0.34,3.61,0.83,0.8,0.84,11.38,15.02,21.9
2020,64,-1.06,0.22,-4.47,278.98,1.24,2.01,3.09,1.48,1.6,4.39,6.68,3.27,3.41,0.84,0.81,0.84,9.98,16.36,22.17
2020,65,-2.84,0.07,-5.52,267.35,0.13,1.08,1.67,0.59,1.08,2.4,3.61,1.59,2.02,0.83,0.81,0.84,7.36,16.59,22.45
2020,66,-4.27,-2.02,-10.16,262.41,2.82,1.73,2.51,0.8,1.72,3.86,5.46,2.16,3.3,0.82,0.8,0.84,6.14,14.92,22.72
2020,67,-10.73,-4.94,-19.29,200.38,0.0,1.17,1.45,0.49,0.97,2.79,3.38,1.5,1.88,0.82,0.8,0.84,17.76,18.04,23.0
2020,68,-2.07,2.51,-8.55,260.84,0.01,0.83,1.27,0.27,1.01,2.23,3.36,0.89,2.47,0.85,0.81,0.85,14.3,15.7,23.27
2020,69,1.84,5.15,0.21,282.7,3.77,0.93,1.22,0.55,0.66,2.45,3.19,1.27,1.91,0.89,0.83,0.86,13.96,15.78,23.55
2020,70,0.64,3.93,-7.24,302.65,5.94,1.79,2.7,1.03,1.67,4.42,6.09,3.09,3.0,0.93,0.87,0.88,4.58,16.45,23.83
2020,71,-8.21,-4.86,-13.93,234.23,0.44,0.88,1.38,0.4,0.98,2.07,3.23,0.99,2.23,0.86,0.86,0.88,12.46,16.77,24.1
2020,72,-2.3,2.75,-7.29,255.27,0.14,1.48,1.97,0.95,1.02,3.42,4.48,2.34,2.15,0.87,0.85,0.88,15.89,16.23,24.38
2020,73,3.68,8.03,0.15,312.6,11.4,2.84,3.7,1.7,2.02,6.75,8.73,4.03,4.7,0.91,0.87,0.89,10.12,17.65,24.66
2020,74,-0.17,3.44,-5.99,253.28,0.5,2.48,3.19,1.49,1.69,5.71,7.37,3.51,3.86,0.86,0.86,0.89,17.05,18.85,24.94
2020,75,-7.6,-2.97,-11.42,189.69,0.0,1.62,2.11,0.72,1.38,3.69,4.78,1.95,2.84,0.85,0.85,0.89,19.77,19.93,25.21
2020,76,-5.69,1.05,-12.74,222.35,0.01,1.02,1.33,0.7,0.62,2.41,3.05,1.95,1.09,0.85,0.84,0.89,18.48,18.85,25.49
2020,77,0.9,5.65,-2.22,292.34,5.36,1.46,2.16,0.77,1.4,3.66,5.3,2.31,2.99,0.87,0.84,0.89,7.21,17.59,25.77
2020,78,-0.9,4.26,-6.54,250.09,0.25,0.72,1.46,0.23,1.23,1.8,3.59,0.45,3.13,0.85,0.84,0.89,14.7,18.33,26.05
2020,79,1.38,6.94,-3.69,299.62,0.1,1.04,1.33,0.71,0.62,2.59,3.26,1.91,1.34,0.85,0.84,0.89,9.29,17.77,26.32
2020,80,5.05,14.14,-6.8,317.91,7.1,1.97,3.11,1.11,2.0,5.18,7.81,2.85,4.96,0.88,0.85,0.9,6.05,17.65,26.6
2020,81,-7.81,-2.84,-12.2,192.88,0.63,1.61,2.26,0.84,1.41,3.97,5.65,2.14,3.52,0.86,0.85,0.9,20.92,21.54,26.88
2020,82,-6.7,0.44,-14.41,195.53,0.03,0.94,1.32,0.71,0.62,2.33,3.46,1.62,1.84,0.85,0.84,0.9,21.11,21.37,27.15
2020,83,-2.37,0.82,-7.67,281.56,3.43,0.99,1.45,0.38,1.07,2.58,3.77,0.69,3.08,0.85,0.84,0.89,9.08,19.89,27.43
2020,84,0.27,6.44,-4.83,277.76,0.14,0.62,1.0,0.41,0.59,1.62,2.13,1.02,1.12,0.86,0.84,0.9,13.8,19.73,27.7
2020,85,1.27,7.13,-3.32,280.66,0.02,0.77,1.2,0.48,0.72,2.38,3.25,1.73,1.52,0.86,0.84,0.9,12.81,19.34,27.97
2020,86,3.15,10.28,-0.92,317.9,4.17,1.02,1.45,0.58,0.87,2.97,4.05,1.71,2.34,0.87,0.84,0.9,6.98,18.78,28.24
2020,87,0.54,8.33,-5.1,236.79,0.28,0.93,1.24,0.41,0.83,2.74,3.47,1.77,1.7,0.85,0.85,0.9,21.68,21.86,28.51
2020,88,1.59,7.7,-3.87,275.14,0.26,0.77,0.95,0.44,0.52,2.24,2.84,1.14,1.7,0.85,0.84,0.9,11.46,20.85,28.78
